Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_029025785.1	ASM2902578v1	2025-04-11	Aeromonas hydrophila		K533					GCF_029025785.1-RS_2025_04_11	Complete Genome	2023-03-08		4	Aeromonas hydrophila
GCF_022557195.1	ASM2255719v1	2025-04-11	Aeromonas hydrophila		LP0103					GCF_022557195.1-RS_2025_04_11	Complete Genome	2022-03-13		1	Aeromonas hydrophila
GCF_022759545.1	ASM2275954v1	2025-04-11	Aeromonas hydrophila		A008N2					GCF_022759545.1-RS_2025_04_11	Complete Genome	2022-03-30		1	Aeromonas hydrophila
GCF_037765365.1	ASM3776536v1	2025-04-10	Aeromonas hydrophila		AH230115					GCF_037765365.1-RS_2025_04_10	Complete Genome	2024-04-05		3	Aeromonas hydrophila
GCF_022700835.1	ASM2270083v1	2025-04-10	Aeromonas hydrophila		Aer_Pi25.1HTAS					GCF_022700835.1-RS_2025_04_10	Complete Genome	2022-03-28		1	Aeromonas hydrophila
GCF_022700855.1	ASM2270085v1	2025-04-10	Aeromonas hydrophila		Aer_Brac14A					GCF_022700855.1-RS_2025_04_10	Complete Genome	2022-03-28		1	Aeromonas hydrophila
GCF_022700815.1	ASM2270081v1	2025-04-10	Aeromonas hydrophila		Aer_Brac66					GCF_022700815.1-RS_2025_04_10	Complete Genome	2022-03-28		1	Aeromonas hydrophila
GCF_017310215.1	ASM1731021v1	2025-04-08	Aeromonas hydrophila		OnP3.1					GCF_017310215.1-RS_2025_04_08	Complete Genome	2021-03-09		1	Aeromonas hydrophila
GCF_017310195.1	ASM1731019v1	2025-04-08	Aeromonas hydrophila		Brac6					GCF_017310195.1-RS_2025_04_08	Complete Genome	2021-03-09		1	Aeromonas hydrophila
GCF_037815895.1	ASM3781589v1	2025-04-05	Aeromonas hydrophila		BE2					GCF_037815895.1-RS_2025_04_05	Complete Genome	2024-04-06		1	Aeromonas hydrophila
GCF_003491245.1	ASM349124v1	2025-04-03	Aeromonas hydrophila		ZYAH75					GCF_003491245.1-RS_2025_04_03	Complete Genome	2018-09-07		1	Aeromonas hydrophila
GCF_028621795.1	ASM2862179v1	2025-03-25	Aeromonas hydrophila		516					GCF_028621795.1-RS_2025_03_25	Complete Genome	2023-02-14		1	Aeromonas hydrophila
GCF_001683535.1	ASM168353v1	2025-03-05	Aeromonas hydrophila		GYK1					GCF_001683535.1-RS_2025_03_05	Complete Genome	2016-07-11		1	Aeromonas hydrophila
GCF_001687125.1	ASM168712v1	2025-03-05	Aeromonas hydrophila		AHNIH1					GCF_001687125.1-RS_2025_03_05	Complete Genome	2016-07-18		2	Aeromonas hydrophila
GCF_001455365.1	ASM145536v1	2025-03-03	Aeromonas hydrophila		JBN2301					GCF_001455365.1-RS_2025_03_03	Complete Genome	2015-12-02		4	Aeromonas hydrophila
GCF_001518775.1	ASM151877v1	2025-03-03	Aeromonas hydrophila		D4					GCF_001518775.1-RS_2025_03_03	Complete Genome	2016-01-20		5	Aeromonas hydrophila
GCF_047777985.1	ASM4777798v1	2025-02-16	Aeromonas hydrophila		BJ014					GCF_047777985.1-RS_2025_02_16	Complete Genome	2025-02-16		5	Aeromonas hydrophila
GCF_047777975.1	ASM4777797v1	2025-02-16	Aeromonas hydrophila		BJ018					GCF_047777975.1-RS_2025_02_16	Complete Genome	2025-02-16		5	Aeromonas hydrophila
GCF_014169715.1	ASM1416971v1	2025-02-13	Aeromonas hydrophila		WP8-S18-ESBL-02					GCF_014169715.1-RS_2025_02_13	Complete Genome	2020-07-21		2	Aeromonas hydrophila
GCF_004296435.1	ASM429643v1	2025-02-12	Aeromonas hydrophila		GSH8-2					GCF_004296435.1-RS_2025_02_12	Complete Genome	2019-02-14		2	Aeromonas hydrophila
GCF_024637955.1	ASM2463795v1	2025-08-30	Bacillus velezensis		EM-1					GCF_024637955.1-RS_2025_08_30	Complete Genome	2022-08-12		1	Bacillus velezensis
GCF_030979955.1	ASM3097995v1	2025-08-30	Bacillus velezensis		NBNZ-0060					GCF_030979955.1-RS_2025_08_30	Complete Genome	2023-08-30		1	Bacillus velezensis
GCF_019334525.1	ASM1933452v1	2025-08-26	Bacillus velezensis		LABIM44					GCF_019334525.1-RS_2025_08_26	Complete Genome	2021-07-25		1	Bacillus velezensis
GCF_052229975.1	ASM5222997v1	2025-08-26	Bacillus velezensis		NS13					GCF_052229975.1-RS_2025_08_26	Complete Genome	2025-08-28		1	Bacillus velezensis
GCF_024610615.1	ASM2461061v1	2025-08-24	Bacillus velezensis		PMC206					GCF_024610615.1-RS_2025_08_24	Complete Genome	2022-08-10		3	Bacillus velezensis
GCF_019285615.1	ASM1928561v1	2025-08-21	Bacillus velezensis		LBY-1					GCF_019285615.1-RS_2025_08_21	Complete Genome	2021-07-20		4	Bacillus velezensis
GCF_052161765.1	ASM5216176v1	2025-08-21	Bacillus velezensis		JLU-53					GCF_052161765.1-RS_2025_08_21	Complete Genome	2025-08-22		1	Bacillus velezensis
GCF_052144505.1	ASM5214450v1	2025-08-20	Bacillus velezensis		77-E7-A5					GCF_052144505.1-RS_2025_08_20	Complete Genome	2025-08-20		1	Bacillus velezensis
GCF_052142305.1	ASM5214230v1	2025-08-20	Bacillus velezensis		77-E7					GCF_052142305.1-RS_2025_08_20	Complete Genome	2025-08-20		1	Bacillus velezensis
GCF_052145415.1	ASM5214541v1	2025-08-20	Bacillus velezensis		77-WTA					GCF_052145415.1-RS_2025_08_20	Complete Genome	2025-08-20		1	Bacillus velezensis
GCF_052147335.1	ASM5214733v1	2025-08-20	Bacillus velezensis		77-E7-BHI					GCF_052147335.1-RS_2025_08_20	Complete Genome	2025-08-20		1	Bacillus velezensis
GCF_052144495.1	ASM5214449v1	2025-08-20	Bacillus velezensis		96-E6					GCF_052144495.1-RS_2025_08_20	Complete Genome	2025-08-20		1	Bacillus velezensis
GCF_052146075.1	ASM5214607v1	2025-08-20	Bacillus velezensis		96-WTA					GCF_052146075.1-RS_2025_08_20	Complete Genome	2025-08-20		1	Bacillus velezensis
GCF_052076155.1	ASM5207615v1	2025-08-18	Bacillus velezensis		0904					GCF_052076155.1-RS_2025_08_18	Complete Genome	2025-08-18		1	Bacillus velezensis
GCF_029536735.1	ASM2953673v2	2025-08-17	Bacillus velezensis		PRO76					GCF_029536735.1-RS_2025_08_17	Complete Genome	2025-04-18		3	Bacillus velezensis
GCF_024508215.1	ASM2450821v1	2025-08-16	Bacillus velezensis		Ba-0321					GCF_024508215.1-RS_2025_08_16	Complete Genome	2022-08-03		1	Bacillus velezensis
GCF_052055905.1	ASM5205590v1	2025-08-16	Bacillus velezensis		FBa1					GCF_052055905.1-RS_2025_08_16	Complete Genome	2025-08-16		1	Bacillus velezensis
GCF_024499135.1	ASM2449913v1	2025-08-15	Bacillus velezensis		C5					GCF_024499135.1-RS_2025_08_15	Complete Genome	2022-08-01		1	Bacillus velezensis
GCF_051990605.1	ASM5199060v1	2025-08-14	Bacillus velezensis		HW_001					GCF_051990605.1-RS_2025_08_14	Complete Genome	2025-08-14		1	Bacillus velezensis
GCF_051940895.1	ASM5194089v1	2025-08-13	Bacillus velezensis		GZ8-6					GCF_051940895.1-RS_2025_08_13	Complete Genome	2025-08-13		1	Bacillus velezensis
GCF_051935925.1	ASM5193592v1	2025-08-13	Bacillus velezensis		J4					GCF_051935925.1-RS_2025_08_13	Complete Genome	2025-08-13		1	Bacillus velezensis
GCF_051912555.1	ASM5191255v1	2025-08-12	Bacillus velezensis		LMY3-5					GCF_051912555.1-RS_2025_08_12	Complete Genome	2025-08-12		1	Bacillus velezensis
GCF_019222745.1	ASM1922274v1	2025-08-11	Bacillus velezensis		BS-G1					GCF_019222745.1-RS_2025_08_11	Complete Genome	2021-07-15		1	Bacillus velezensis
GCF_014841075.1	ASM1484107v1	2025-08-10	Bacillus velezensis		BSC16a					GCF_014841075.1-RS_2025_08_10	Complete Genome	2020-10-04		1	Bacillus velezensis
GCF_024408125.1	ASM2440812v1	2025-08-09	Bacillus velezensis		906					GCF_024408125.1-RS_2025_08_09	Complete Genome	2022-07-25		1	Bacillus velezensis
GCF_051861845.1	ASM5186184v1	2025-08-07	Bacillus velezensis		BX77					GCF_051861845.1-RS_2025_08_07	Complete Genome	2025-08-08		1	Bacillus velezensis
GCF_051801825.1	ASM5180182v1	2025-08-05	Bacillus velezensis		JLU-55					GCF_051801825.1-RS_2025_08_05	Complete Genome	2025-08-06		1	Bacillus velezensis
GCF_051799895.1	ASM5179989v1	2025-08-05	Bacillus velezensis		ST5					GCF_051799895.1-RS_2025_08_05	Complete Genome	2025-08-06		1	Bacillus velezensis
GCF_013367755.1	ASM1336775v1	2025-07-30	Bacillus velezensis		WLYS23					GCF_013367755.1-RS_2025_07_30	Complete Genome	2020-06-23		1	Bacillus velezensis
GCF_051549775.1	ASM5154977v1	2025-07-30	Bacillus velezensis		WSR1					GCF_051549775.1-RS_2025_07_30	Complete Genome	2025-07-31		2	Bacillus velezensis
GCF_030544925.1	ASM3054492v1	2025-07-25	Bacillus velezensis		XDY66					GCF_030544925.1-RS_2025_07_25	Complete Genome	2023-07-26		2	Bacillus velezensis
GCF_051516225.1	ASM5151622v1	2025-07-24	Bacillus velezensis		MZ09					GCF_051516225.1-RS_2025_07_24	Complete Genome	2025-07-29		1	Bacillus velezensis
GCF_051472655.1	ASM5147265v1	2025-07-23	Bacillus velezensis		Soil-4-2					GCF_051472655.1-RS_2025_07_23	Complete Genome	2025-07-23		1	Bacillus velezensis
GCF_030520225.1	ASM3052022v1	2025-07-23	Bacillus velezensis		SRCM126726					GCF_030520225.1-RS_2025_07_23	Complete Genome	2023-07-24		1	Bacillus velezensis
GCF_030518635.1	ASM3051863v1	2025-07-22	Bacillus velezensis		NC-B4					GCF_030518635.1-RS_2025_07_22	Complete Genome	2023-07-23		1	Bacillus velezensis
GCF_030516885.1	ASM3051688v1	2025-07-21	Bacillus velezensis		DW-7					GCF_030516885.1-RS_2025_07_21	Complete Genome	2023-07-21		1	Bacillus velezensis
GCF_030517005.1	ASM3051700v1	2025-07-21	Bacillus velezensis		B1					GCF_030517005.1-RS_2025_07_21	Complete Genome	2023-07-21		1	Bacillus velezensis
GCF_030517045.1	ASM3051704v1	2025-07-21	Bacillus velezensis		B3					GCF_030517045.1-RS_2025_07_21	Complete Genome	2023-07-21		1	Bacillus velezensis
GCF_013201135.1	ASM1320113v1	2025-07-19	Bacillus velezensis		A2					GCF_013201135.1-RS_2025_07_19	Complete Genome	2020-05-31		1	Bacillus velezensis
GCF_013201465.1	ASM1320146v1	2025-07-19	Bacillus velezensis		B268					GCF_013201465.1-RS_2025_07_19	Complete Genome	2020-06-01		1	Bacillus velezensis
GCF_030506345.1	ASM3050634v1	2025-07-19	Bacillus velezensis		411					GCF_030506345.1-RS_2025_07_19	Complete Genome	2023-07-19		1	Bacillus velezensis
GCF_003047005.1	ASM304700v1	2025-07-18	Bacillus velezensis		J7-1					GCF_003047005.1-RS_2025_07_18	Complete Genome	2018-04-10		1	Bacillus velezensis
GCF_003047025.1	ASM304702v1	2025-07-18	Bacillus velezensis		8-2					GCF_003047025.1-RS_2025_07_18	Complete Genome	2018-04-10		1	Bacillus velezensis
GCF_003047045.1	ASM304704v1	2025-07-18	Bacillus velezensis		131-4					GCF_003047045.1-RS_2025_07_18	Complete Genome	2018-04-10		1	Bacillus velezensis
GCF_002005345.1	ASM200534v1	2025-07-16	Bacillus velezensis		GH1-13					GCF_002005345.1-RS_2025_07_16	Complete Genome	2017-02-21		2	Bacillus velezensis
GCF_013122275.1	ASM1312227v1	2025-07-16	Bacillus velezensis		EN01					GCF_013122275.1-RS_2025_07_16	Complete Genome	2020-05-19		1	Bacillus velezensis
GCF_001723585.1	ASM172358v1	2025-07-16	Bacillus velezensis		M75					GCF_001723585.1-RS_2025_07_16	Complete Genome	2016-09-13		1	Bacillus velezensis
GCF_002796465.1	ASM279646v1	2025-07-16	Bacillus velezensis		CN026					GCF_002796465.1-RS_2025_07_16	Complete Genome	2017-11-27		1	Bacillus velezensis
GCF_030444515.1	ASM3044451v1	2025-07-16	Bacillus velezensis		SSF6					GCF_030444515.1-RS_2025_07_16	Complete Genome	2023-07-13		1	Bacillus velezensis
GCF_051359705.1	ASM5135970v1	2025-07-16	Bacillus velezensis		FS3					GCF_051359705.1-RS_2025_07_16	Complete Genome	2025-07-17		4	Bacillus velezensis
GCF_030931755.1	ASM3093175v1	2025-08-30	Bordetella pertussis		D420Sm1					GCF_030931755.1-RS_2025_08_30	Complete Genome	2023-08-29		1	Bordetella pertussis
GCF_001686465.1	ASM168646v1	2025-08-25	Bordetella pertussis		VA-52					GCF_001686465.1-RS_2025_08_25	Complete Genome	2016-07-15		1	Bordetella pertussis
GCF_004635445.1	ASM463544v1	2025-08-25	Bordetella pertussis		J250					GCF_004635445.1-RS_2025_08_25	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004637025.1	ASM463702v1	2025-08-25	Bordetella pertussis		J586					GCF_004637025.1-RS_2025_08_25	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_052058455.1	ASM5205845v1	2025-08-16	Bordetella pertussis		S5					GCF_052058455.1-RS_2025_08_16	Complete Genome	2025-08-16		1	Bordetella pertussis
GCF_030644665.1	ASM3064466v1	2025-08-09	Bordetella pertussis		S3					GCF_030644665.1-RS_2025_08_09	Complete Genome	2023-08-04		1	Bordetella pertussis
GCF_030644705.1	ASM3064470v1	2025-08-09	Bordetella pertussis		S1					GCF_030644705.1-RS_2025_08_09	Complete Genome	2023-08-04		1	Bordetella pertussis
GCF_030644645.1	ASM3064464v1	2025-08-09	Bordetella pertussis		S4					GCF_030644645.1-RS_2025_08_09	Complete Genome	2023-08-04		1	Bordetella pertussis
GCF_030644685.1	ASM3064468v1	2025-08-08	Bordetella pertussis		S2					GCF_030644685.1-RS_2025_08_08	Complete Genome	2023-08-04		1	Bordetella pertussis
GCF_004637225.1	ASM463722v1	2025-07-30	Bordetella pertussis		I182					GCF_004637225.1-RS_2025_07_30	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_050942035.1	ASM5094203v1	2025-06-18	Bordetella pertussis		BP0720/24					GCF_050942035.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_050942115.1	ASM5094211v1	2025-06-18	Bordetella pertussis		BP0054/24					GCF_050942115.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_050942065.1	ASM5094206v1	2025-06-18	Bordetella pertussis		BP16367/24					GCF_050942065.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_050942045.1	ASM5094204v1	2025-06-18	Bordetella pertussis		BP0274/24					GCF_050942045.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_050942125.1	ASM5094212v1	2025-06-18	Bordetella pertussis		BP0071/24					GCF_050942125.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_050942135.1	ASM5094213v1	2025-06-18	Bordetella pertussis		BP0055/24					GCF_050942135.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_050942055.1	ASM5094205v1	2025-06-18	Bordetella pertussis		BP1180/24					GCF_050942055.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_050942235.1	ASM5094223v1	2025-06-18	Bordetella pertussis		BP1194/24					GCF_050942235.1-RS_2025_06_18	Complete Genome	2025-06-18		1	Bordetella pertussis
GCF_023612135.1	ASM2361213v1	2025-06-04	Bordetella pertussis CS		CS					GCF_023612135.1-RS_2025_06_04	Complete Genome	2022-05-31		1	Bordetella pertussis
GCF_004635485.1	ASM463548v1	2025-04-29	Bordetella pertussis		J401					GCF_004635485.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635905.1	ASM463590v1	2025-04-29	Bordetella pertussis		J603					GCF_004635905.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635865.1	ASM463586v1	2025-04-29	Bordetella pertussis		J605					GCF_004635865.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635845.1	ASM463584v1	2025-04-29	Bordetella pertussis		J606					GCF_004635845.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635885.1	ASM463588v1	2025-04-29	Bordetella pertussis		J604					GCF_004635885.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004636505.1	ASM463650v1	2025-04-29	Bordetella pertussis		J683					GCF_004636505.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004636545.1	ASM463654v1	2025-04-29	Bordetella pertussis		J680					GCF_004636545.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004636565.1	ASM463656v1	2025-04-29	Bordetella pertussis		J679					GCF_004636565.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004636525.1	ASM463652v1	2025-04-29	Bordetella pertussis		J682					GCF_004636525.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635465.1	ASM463546v1	2025-04-29	Bordetella pertussis		J402					GCF_004635465.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635505.1	ASM463550v1	2025-04-29	Bordetella pertussis		J392					GCF_004635505.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635625.1	ASM463562v1	2025-04-29	Bordetella pertussis		J700					GCF_004635625.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635665.1	ASM463566v1	2025-04-29	Bordetella pertussis		J698					GCF_004635665.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635645.1	ASM463564v1	2025-04-29	Bordetella pertussis		J699					GCF_004635645.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004636485.1	ASM463648v1	2025-04-29	Bordetella pertussis		J687					GCF_004636485.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635705.1	ASM463570v1	2025-04-29	Bordetella pertussis		J695					GCF_004635705.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635745.1	ASM463574v1	2025-04-29	Bordetella pertussis		J692					GCF_004635745.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004636465.1	ASM463646v1	2025-04-29	Bordetella pertussis		J691					GCF_004636465.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635725.1	ASM463572v1	2025-04-29	Bordetella pertussis		J693					GCF_004635725.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635765.1	ASM463576v1	2025-04-29	Bordetella pertussis		J690					GCF_004635765.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635605.1	ASM463560v1	2025-04-29	Bordetella pertussis		J703					GCF_004635605.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004636445.1	ASM463644v1	2025-04-29	Bordetella pertussis		J702					GCF_004636445.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635805.1	ASM463580v1	2025-04-29	Bordetella pertussis		J617					GCF_004635805.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635945.1	ASM463594v1	2025-04-29	Bordetella pertussis		J616					GCF_004635945.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_004635825.1	ASM463582v1	2025-04-29	Bordetella pertussis		J614					GCF_004635825.1-RS_2025_04_29	Complete Genome	2019-04-05		1	Bordetella pertussis
GCF_022407395.1	ASM2240739v1	2025-04-16	Bordetella pertussis		NZ35					GCF_022407395.1-RS_2025_04_16	Complete Genome	2022-02-28		1	Bordetella pertussis
GCF_022409395.1	ASM2240939v1	2025-04-16	Bordetella pertussis		NZ13					GCF_022409395.1-RS_2025_04_16	Complete Genome	2022-02-28		1	Bordetella pertussis
GCF_003860305.1	ASM386030v1	2025-04-16	Bordetella pertussis		BPD1					GCF_003860305.1-RS_2025_04_16	Complete Genome	2018-12-04		1	Bordetella pertussis
GCF_003355085.1	ASM335508v1	2025-04-16	Bordetella pertussis		UK76					GCF_003355085.1-RS_2025_04_16	Complete Genome	2018-08-03		1	Bordetella pertussis
GCF_022409135.1	ASM2240913v1	2025-04-16	Bordetella pertussis		NZ66					GCF_022409135.1-RS_2025_04_16	Complete Genome	2022-02-28		1	Bordetella pertussis
GCF_022407895.1	ASM2240789v1	2025-04-16	Bordetella pertussis		NZ24					GCF_022407895.1-RS_2025_04_16	Complete Genome	2022-02-28		1	Bordetella pertussis
GCF_051560105.1	ASM5156010v1	2025-07-30	Burkholderia pseudomallei		TSV287_S					GCF_051560105.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQO01	2	Burkholderia pseudomallei
GCF_051560125.1	ASM5156012v1	2025-07-30	Burkholderia pseudomallei		TSV140_S					GCF_051560125.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQR01	3	Burkholderia pseudomallei
GCF_051560145.1	ASM5156014v1	2025-07-30	Burkholderia pseudomallei		TSV82_R					GCF_051560145.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQS01	2	Burkholderia pseudomallei
GCF_051560065.1	ASM5156006v1	2025-07-30	Burkholderia pseudomallei		TSV268_S					GCF_051560065.1-RS_2025_07_30	Complete Genome	2025-07-29	JBPVQQ01	2	Burkholderia pseudomallei
