Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_052052835.1	ASM5205283v1	2025-08-16	Acinetobacter baumannii		AB-38_FGL					GCF_052052835.1-RS_2025_08_16	Complete Genome	2025-08-16		6	Acinetobacter baumannii
GCF_052054815.1	ASM5205481v1	2025-08-16	Acinetobacter baumannii		AB-18_FGL					GCF_052054815.1-RS_2025_08_16	Complete Genome	2025-08-16		6	Acinetobacter baumannii
GCF_052055445.1	ASM5205544v1	2025-08-16	Acinetobacter baumannii		AB-12_FGL					GCF_052055445.1-RS_2025_08_16	Complete Genome	2025-08-16		2	Acinetobacter baumannii
GCF_052055465.1	ASM5205546v1	2025-08-16	Acinetobacter baumannii		AB-3_FGL					GCF_052055465.1-RS_2025_08_16	Complete Genome	2025-08-16		5	Acinetobacter baumannii
GCF_052054865.1	ASM5205486v1	2025-08-16	Acinetobacter baumannii		AB-14_FGL					GCF_052054865.1-RS_2025_08_16	Complete Genome	2025-08-16		7	Acinetobacter baumannii
GCF_052054135.1	ASM5205413v1	2025-08-16	Acinetobacter baumannii		AB-20_FGL					GCF_052054135.1-RS_2025_08_16	Complete Genome	2025-08-16		7	Acinetobacter baumannii
GCF_052054115.1	ASM5205411v1	2025-08-16	Acinetobacter baumannii		AB-25_FGL					GCF_052054115.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Acinetobacter baumannii
GCF_052053485.1	ASM5205348v1	2025-08-16	Acinetobacter baumannii		AB-34_FGL					GCF_052053485.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Acinetobacter baumannii
GCF_052055455.1	ASM5205545v1	2025-08-16	Acinetobacter baumannii		AB-10_FGL					GCF_052055455.1-RS_2025_08_16	Complete Genome	2025-08-16		4	Acinetobacter baumannii
GCF_052053505.1	ASM5205350v1	2025-08-16	Acinetobacter baumannii		AB-26_FGL					GCF_052053505.1-RS_2025_08_16	Complete Genome	2025-08-16		7	Acinetobacter baumannii
GCF_052052845.1	ASM5205284v1	2025-08-16	Acinetobacter baumannii		AB-37_FGL					GCF_052052845.1-RS_2025_08_16	Complete Genome	2025-08-16		2	Acinetobacter baumannii
GCF_052040225.1	ASM5204022v1	2025-08-15	Acinetobacter baumannii		AB26-AUFP					GCF_052040225.1-RS_2025_08_15	Complete Genome	2025-08-16		2	Acinetobacter baumannii
GCF_052040695.1	ASM5204069v1	2025-08-15	Acinetobacter baumannii		AB16-AUFP					GCF_052040695.1-RS_2025_08_15	Complete Genome	2025-08-16		3	Acinetobacter baumannii
GCF_052052195.1	ASM5205219v1	2025-08-15	Acinetobacter baumannii		AB-40_FGL					GCF_052052195.1-RS_2025_08_15	Complete Genome	2025-08-16		5	Acinetobacter baumannii
GCF_052051545.1	ASM5205154v1	2025-08-15	Acinetobacter baumannii		AB-41_FGL					GCF_052051545.1-RS_2025_08_15	Complete Genome	2025-08-16		2	Acinetobacter baumannii
GCF_052052205.1	ASM5205220v1	2025-08-15	Acinetobacter baumannii		AB-39_FGL					GCF_052052205.1-RS_2025_08_15	Complete Genome	2025-08-16		3	Acinetobacter baumannii
GCF_030718975.1	ASM3071897v1	2025-08-13	Acinetobacter baumannii		2022CK-00066					GCF_030718975.1-RS_2025_08_13	Complete Genome	2023-08-14		2	Acinetobacter baumannii
GCF_051932685.1	ASM5193268v1	2025-08-13	Acinetobacter baumannii		144AB_F11_FAQ07850_BC01					GCF_051932685.1-RS_2025_08_13	Complete Genome	2025-08-13		2	Acinetobacter baumannii
GCF_051941085.1	ASM5194108v1	2025-08-13	Acinetobacter baumannii		17978rif					GCF_051941085.1-RS_2025_08_13	Complete Genome	2025-08-13		4	Acinetobacter baumannii
GCF_024426665.1	ASM2442666v1	2025-08-10	Acinetobacter baumannii		Cl107					GCF_024426665.1-RS_2025_08_10	Complete Genome	2022-07-25		2	Acinetobacter baumannii
GCF_029767905.1	ASM2976790v3	2025-08-10	Acinetobacter baumannii		2023CK-00423					GCF_029767905.1-RS_2025_08_10	Complete Genome	2023-08-05		3	Acinetobacter baumannii
GCF_030585385.1	ASM3058538v1	2025-08-10	Acinetobacter baumannii		19WIARLN011_full					GCF_030585385.1-RS_2025_08_10	Complete Genome	2023-08-02		3	Acinetobacter baumannii
GCF_030585345.1	ASM3058534v1	2025-08-10	Acinetobacter baumannii		19WIARLN023_full					GCF_030585345.1-RS_2025_08_10	Complete Genome	2023-08-02		3	Acinetobacter baumannii
GCF_030585225.1	ASM3058522v1	2025-08-10	Acinetobacter baumannii		18WIARLN0035					GCF_030585225.1-RS_2025_08_10	Complete Genome	2023-08-02		3	Acinetobacter baumannii
GCF_030585245.1	ASM3058524v1	2025-08-10	Acinetobacter baumannii		18WIARLN0025					GCF_030585245.1-RS_2025_08_10	Complete Genome	2023-08-02		3	Acinetobacter baumannii
GCF_024181765.1	ASM2418176v1	2025-07-23	Acinetobacter pittii		AbW39					GCF_024181765.1-RS_2025_07_23	Complete Genome	2022-07-07		3	Acinetobacter pittii
GCF_024083765.1	ASM2408376v1	2025-07-19	Acinetobacter pittii		TCM					GCF_024083765.1-RS_2025_07_19	Complete Genome	2022-06-30		5	Acinetobacter pittii
GCF_023922005.1	ASM2392200v1	2025-07-19	Acinetobacter pittii		Ap-W20					GCF_023922005.1-RS_2025_07_19	Complete Genome	2022-06-27		5	Acinetobacter pittii
GCF_043084955.2	624-B_genome_closed.fasta	2025-06-29	Acinetobacter pittii		624-B					GCF_043084955.2-RS_2025_06_29	Complete Genome	2025-05-13		1	Acinetobacter pittii
GCF_040214375.1	ASM4021437v1	2025-06-26	Acinetobacter pittii		bac73					GCF_040214375.1-RS_2025_06_26	Complete Genome	2024-06-20		1	Acinetobacter pittii
GCF_029987435.1	ASM2998743v1	2025-06-12	Acinetobacter pittii		SO1					GCF_029987435.1-RS_2025_06_12	Complete Genome	2023-05-11		1	Acinetobacter pittii
GCF_020535225.1	ASM2053522v1	2025-06-11	Acinetobacter pittii		CEP14					GCF_020535225.1-RS_2025_06_11	Complete Genome	2021-10-20		4	Acinetobacter pittii
GCF_029906465.1	ASM2990646v1	2025-06-10	Acinetobacter pittii		AP8900					GCF_029906465.1-RS_2025_06_10	Complete Genome	2023-04-30		5	Acinetobacter pittii
GCF_029873195.1	ASM2987319v1	2025-06-10	Acinetobacter pittii		BM4623					GCF_029873195.1-RS_2025_06_10	Complete Genome	2023-04-26		2	Acinetobacter pittii
GCF_019703265.1	ASM1970326v1	2025-05-26	Acinetobacter pittii		OCU Ac17					GCF_019703265.1-RS_2025_05_26	Complete Genome	2021-07-07		4	Acinetobacter pittii
GCF_029025705.1	ASM2902570v1	2025-05-18	Acinetobacter pittii		ML4					GCF_029025705.1-RS_2025_05_18	Complete Genome	2023-03-08		3	Acinetobacter pittii
GCF_050367435.1	De novo	2025-05-15	Acinetobacter pittii		KBN12P06770					GCF_050367435.1-RS_2025_05_15	Complete Genome	2025-05-15		4	Acinetobacter pittii
GCF_038441175.1	ASM3844117v1	2025-05-01	Acinetobacter pittii		2014S07-126					GCF_038441175.1-RS_2025_05_01	Complete Genome	2024-04-25		5	Acinetobacter pittii
GCF_038441165.1	ASM3844116v1	2025-05-01	Acinetobacter pittii		2012N08-034					GCF_038441165.1-RS_2025_05_01	Complete Genome	2024-04-25		6	Acinetobacter pittii
GCF_049244295.1	ASM4924429v1	2025-04-14	Acinetobacter pittii		IrC1					GCF_049244295.1-RS_2025_04_14	Complete Genome	2025-04-04		2	Acinetobacter pittii
GCF_049177095.1	ASM4917709v1	2025-03-31	Acinetobacter pittii		ERTCM					GCF_049177095.1-RS_2025_03_31	Complete Genome	2025-04-03		4	Acinetobacter pittii
GCF_002863745.1	ASM286374v1	2025-03-24	Acinetobacter pittii		XJ88					GCF_002863745.1-RS_2025_03_24	Complete Genome	2018-01-05		2	Acinetobacter pittii
GCF_002158945.1	ASM215894v1	2025-03-23	Acinetobacter pittii		HUMV-6483					GCF_002158945.1-RS_2025_03_23	Complete Genome	2017-05-30		2	Acinetobacter pittii
GCF_002012285.1	ASM201228v1	2025-03-23	Acinetobacter pittii		YMC2010/8/T346					GCF_002012285.1-RS_2025_03_23	Complete Genome	2017-03-03		2	Acinetobacter pittii
GCF_023669645.2	ASM2366964v2	2025-03-16	Acinetobacter pittii		A45P					GCF_023669645.2-RS_2025_03_16	Complete Genome	2024-01-23		4	Acinetobacter pittii
GCF_036320525.1	ASM3632052v1	2025-03-12	Acinetobacter pittii		AR3651					GCF_036320525.1-RS_2025_03_12	Complete Genome	2024-01-31		3	Acinetobacter pittii
GCF_036320505.1	ASM3632050v1	2025-03-12	Acinetobacter pittii		AR3676					GCF_036320505.1-RS_2025_03_12	Complete Genome	2024-01-31		8	Acinetobacter pittii
GCF_034424115.1	ASM3442411v1	2025-03-10	Acinetobacter pittii		CARB128					GCF_034424115.1-RS_2025_03_10	Complete Genome	2023-12-17		6	Acinetobacter pittii
GCF_019047205.1	ASM1904720v1	2025-02-26	Acinetobacter pittii		FDAARGOS 1399					GCF_019047205.1-RS_2025_02_26	Complete Genome	2021-06-28		4	Acinetobacter pittii
GCF_003956065.1	ASM395606v1	2025-02-26	Acinetobacter pittii		ST220					GCF_003956065.1-RS_2025_02_26	Complete Genome	2018-12-19		2	Acinetobacter pittii
GCF_019047185.1	ASM1904718v1	2025-02-26	Acinetobacter pittii		FDAARGOS 1397					GCF_019047185.1-RS_2025_02_26	Complete Genome	2021-06-28		4	Acinetobacter pittii
GCF_011996285.1	ASM1199628v1	2025-02-26	Acinetobacter pittii		A1254					GCF_011996285.1-RS_2025_02_26	Complete Genome	2020-04-03		5	Acinetobacter pittii
GCF_003051965.2	ASM305196v2	2025-02-26	Acinetobacter pittii		WCHAP005046					GCF_003051965.2-RS_2025_02_26	Complete Genome	2019-08-19		6	Acinetobacter pittii
GCF_020544425.1	ASM2054442v1	2025-02-26	Acinetobacter pittii		32292					GCF_020544425.1-RS_2025_02_26	Complete Genome	2021-10-25		1	Acinetobacter pittii
GCF_002902805.2	ASM290280v2	2025-02-26	Acinetobacter pittii		WCHAP005069					GCF_002902805.2-RS_2025_02_26	Complete Genome	2019-08-19		4	Acinetobacter pittii
GCF_009931315.1	ASM993131v1	2025-02-26	Acinetobacter pittii		NQ-003					GCF_009931315.1-RS_2025_02_26	Complete Genome	2020-01-27		1	Acinetobacter pittii
GCF_016889825.1	ASM1688982v1	2025-02-26	Acinetobacter pittii		FDAARGOS_1214					GCF_016889825.1-RS_2025_02_26	Complete Genome	2021-02-15		5	Acinetobacter pittii
GCF_016804045.1	ASM1680404v1	2025-02-26	Acinetobacter pittii		JXA13					GCF_016804045.1-RS_2025_02_26	Complete Genome	2021-02-03		2	Acinetobacter pittii
GCF_008121475.1	ASM812147v1	2025-02-26	Acinetobacter pittii		AP43					GCF_008121475.1-RS_2025_02_26	Complete Genome	2019-08-28		4	Acinetobacter pittii
GCF_008694085.1	ASM869408v1	2025-02-26	Acinetobacter pittii		AB17H194					GCF_008694085.1-RS_2025_02_26	Complete Genome	2019-09-25		3	Acinetobacter pittii
GCF_002999215.3	ASM299921v3	2025-02-26	Acinetobacter pittii		WCHAP100020					GCF_002999215.3-RS_2025_02_26	Complete Genome	2019-08-16		4	Acinetobacter pittii
GCF_019046965.1	ASM1904696v1	2025-02-26	Acinetobacter pittii		FDAARGOS 1398					GCF_019046965.1-RS_2025_02_26	Complete Genome	2021-06-28		1	Acinetobacter pittii
GCF_019048225.1	ASM1904822v1	2025-02-26	Acinetobacter pittii		FDAARGOS 1396					GCF_019048225.1-RS_2025_02_26	Complete Genome	2021-06-28		5	Acinetobacter pittii
GCF_007954485.1	ASM795448v1	2025-02-23	Acinetobacter pittii		C54					GCF_007954485.1-RS_2025_02_23	Complete Genome	2019-08-11		7	Acinetobacter pittii
GCF_002999115.2	ASM299911v2	2025-02-21	Acinetobacter pittii		WCHAP100004					GCF_002999115.2-RS_2025_02_21	Complete Genome	2019-08-19		4	Acinetobacter pittii
GCF_016889305.1	ASM1688930v1	2025-02-21	Acinetobacter pittii		FDAARGOS_1217					GCF_016889305.1-RS_2025_02_21	Complete Genome	2021-02-15		3	Acinetobacter pittii
GCF_016889345.1	ASM1688934v1	2025-02-21	Acinetobacter pittii		FDAARGOS_1215					GCF_016889345.1-RS_2025_02_21	Complete Genome	2021-02-15		5	Acinetobacter pittii
GCF_014168695.1	ASM1416869v1	2025-02-20	Acinetobacter pittii		WP2-W18-ESBL-11					GCF_014168695.1-RS_2025_02_20	Complete Genome	2020-07-21		4	Acinetobacter pittii
GCF_016890065.1	ASM1689006v1	2025-02-20	Acinetobacter pittii		FDAARGOS_1216					GCF_016890065.1-RS_2025_02_20	Complete Genome	2021-02-15		1	Acinetobacter pittii
GCF_001577285.1	ASM157728v1	2025-02-19	Acinetobacter pittii		AP_882					GCF_001577285.1-RS_2025_02_19	Complete Genome	2016-02-29		3	Acinetobacter pittii
GCF_001617545.1	ASM161754v1	2025-02-19	Acinetobacter pittii		IEC338SC					GCF_001617545.1-RS_2025_02_19	Complete Genome	2016-04-08		4	Acinetobacter pittii
GCF_047777925.1	ASM4777792v1	2025-02-16	Acinetobacter pittii		AP5091					GCF_047777925.1-RS_2025_02_16	Complete Genome	2025-02-16		1	Acinetobacter pittii
GCF_034073245.1	ASM3407324v1	2025-02-06	Acinetobacter pittii		AE13					GCF_034073245.1-RS_2025_02_06	Complete Genome	2023-12-04		4	Acinetobacter pittii
GCF_034063485.1	ASM3406348v1	2025-02-05	Acinetobacter pittii		HCG18					GCF_034063485.1-RS_2025_02_05	Complete Genome	2023-12-04		1	Acinetobacter pittii
GCF_034071845.1	ASM3407184v1	2025-02-05	Acinetobacter pittii		HCG62					GCF_034071845.1-RS_2025_02_05	Complete Genome	2023-12-04		5	Acinetobacter pittii
GCF_041273615.2	ASM4127361v1	2025-08-27	Actinobacillus pleuropneumoniae		ZJXS2022					GCF_041273615.2-RS_2025_08_27	Complete Genome	2024-08-15		2	Actinobacillus pleuropneumoniae
GCF_900638445.1	57675_E01	2025-08-25	Actinobacillus pleuropneumoniae		NCTC10976					GCF_900638445.1-RS_2025_08_25	Complete Genome	2018-12-20		1	Actinobacillus pleuropneumoniae
GCF_000015885.1	ASM1588v1	2025-08-18	Actinobacillus pleuropneumoniae serovar 5b str. L20		L20					GCF_000015885.1-RS_2025_08_18	Complete Genome	2007-02-23		1	Actinobacillus pleuropneumoniae
GCF_019264705.1	ASM1926470v1	2025-08-17	Actinobacillus pleuropneumoniae serovar 8 str. 405		405					GCF_019264705.1-RS_2025_08_17	Complete Genome	2021-07-18		1	Actinobacillus pleuropneumoniae
GCF_023921245.1	ASM2392124v1	2025-07-04	Actinobacillus pleuropneumoniae		SC1810					GCF_023921245.1-RS_2025_07_04	Complete Genome	2022-06-27		2	Actinobacillus pleuropneumoniae
GCF_050920885.1	ASM5092088v1	2025-06-16	Actinobacillus pleuropneumoniae		2725					GCF_050920885.1-RS_2025_06_16	Complete Genome	2025-06-17		2	Actinobacillus pleuropneumoniae
GCF_050920875.1	ASM5092087v1	2025-06-16	Actinobacillus pleuropneumoniae		803					GCF_050920875.1-RS_2025_06_16	Complete Genome	2025-06-17		2	Actinobacillus pleuropneumoniae
GCF_050920905.1	ASM5092090v1	2025-06-16	Actinobacillus pleuropneumoniae		14-008					GCF_050920905.1-RS_2025_06_16	Complete Genome	2025-06-17		4	Actinobacillus pleuropneumoniae
GCF_023520775.1	ASM2352077v1	2025-05-27	Actinobacillus pleuropneumoniae		GD2107					GCF_023520775.1-RS_2025_05_27	Complete Genome	2022-05-23		3	Actinobacillus pleuropneumoniae
GCF_050319635.1	ASM5031963v1	2025-05-13	Actinobacillus pleuropneumoniae		21-001-2					GCF_050319635.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319645.1	ASM5031964v1	2025-05-13	Actinobacillus pleuropneumoniae		21-001-1					GCF_050319645.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319815.1	ASM5031981v1	2025-05-13	Actinobacillus pleuropneumoniae		19-073					GCF_050319815.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319905.1	ASM5031990v1	2025-05-13	Actinobacillus pleuropneumoniae		15-007					GCF_050319905.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050320035.1	ASM5032003v1	2025-05-13	Actinobacillus pleuropneumoniae		19-068					GCF_050320035.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319975.1	ASM5031997v1	2025-05-13	Actinobacillus pleuropneumoniae		A05-0660-4					GCF_050319975.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319895.1	ASM5031989v1	2025-05-13	Actinobacillus pleuropneumoniae		16-058					GCF_050319895.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319965.1	ASM5031996v1	2025-05-13	Actinobacillus pleuropneumoniae		A05-0565-2					GCF_050319965.1-RS_2025_05_13	Complete Genome	2025-05-14		5	Actinobacillus pleuropneumoniae
GCF_050319855.1	ASM5031985v1	2025-05-13	Actinobacillus pleuropneumoniae		18-053					GCF_050319855.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319985.1	ASM5031998v1	2025-05-13	Actinobacillus pleuropneumoniae		17-071					GCF_050319985.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319715.1	ASM5031971v1	2025-05-13	Actinobacillus pleuropneumoniae		12-038					GCF_050319715.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319595.1	ASM5031959v1	2025-05-13	Actinobacillus pleuropneumoniae		KG1616					GCF_050319595.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319505.1	ASM5031950v1	2025-05-13	Actinobacillus pleuropneumoniae		A05-0185-2					GCF_050319505.1-RS_2025_05_13	Complete Genome	2025-05-14		3	Actinobacillus pleuropneumoniae
GCF_050319945.1	ASM5031994v1	2025-05-13	Actinobacillus pleuropneumoniae		17-030					GCF_050319945.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319915.1	ASM5031991v1	2025-05-13	Actinobacillus pleuropneumoniae		16-038					GCF_050319915.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319935.1	ASM5031993v1	2025-05-13	Actinobacillus pleuropneumoniae		15-014					GCF_050319935.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319665.1	ASM5031966v1	2025-05-13	Actinobacillus pleuropneumoniae		12-011					GCF_050319665.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319675.1	ASM5031967v1	2025-05-13	Actinobacillus pleuropneumoniae		12-066-2					GCF_050319675.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319735.1	ASM5031973v1	2025-05-13	Actinobacillus pleuropneumoniae		14-018					GCF_050319735.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319765.1	ASM5031976v1	2025-05-13	Actinobacillus pleuropneumoniae		14-054					GCF_050319765.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319725.1	ASM5031972v1	2025-05-13	Actinobacillus pleuropneumoniae		13-046-2					GCF_050319725.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050320045.1	ASM5032004v1	2025-05-13	Actinobacillus pleuropneumoniae		A04-1484					GCF_050320045.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319685.1	ASM5031968v1	2025-05-13	Actinobacillus pleuropneumoniae		13-012					GCF_050319685.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319875.1	ASM5031987v1	2025-05-13	Actinobacillus pleuropneumoniae		15-071-1					GCF_050319875.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319865.1	ASM5031986v1	2025-05-13	Actinobacillus pleuropneumoniae		15-071-2					GCF_050319865.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319745.1	ASM5031974v1	2025-05-13	Actinobacillus pleuropneumoniae		14-032					GCF_050319745.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319995.1	ASM5031999v1	2025-05-13	Actinobacillus pleuropneumoniae		19-014					GCF_050319995.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050320015.1	ASM5032001v1	2025-05-13	Actinobacillus pleuropneumoniae		17-013					GCF_050320015.1-RS_2025_05_13	Complete Genome	2025-05-14		1	Actinobacillus pleuropneumoniae
GCF_050319925.1	ASM5031992v1	2025-05-13	Actinobacillus pleuropneumoniae		13-035					GCF_050319925.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050320005.1	ASM5032000v1	2025-05-13	Actinobacillus pleuropneumoniae		A04-0696					GCF_050320005.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319835.1	ASM5031983v1	2025-05-13	Actinobacillus pleuropneumoniae		17-059-2					GCF_050319835.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050320115.1	ASM5032011v1	2025-05-13	Actinobacillus pleuropneumoniae		17-059-3					GCF_050320115.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319845.1	ASM5031984v1	2025-05-13	Actinobacillus pleuropneumoniae		17-059-1					GCF_050319845.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
GCF_050319605.1	ASM5031960v1	2025-05-13	Actinobacillus pleuropneumoniae		21-001-3					GCF_050319605.1-RS_2025_05_13	Complete Genome	2025-05-14		2	Actinobacillus pleuropneumoniae
