Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_000783775.2	ASM78377v2	2025-01-28	Aeromonas caviae		FDAARGOS_72					GCF_000783775.2-RS_2025_01_28	Complete Genome	2018-01-29		1	Aeromonas caviae
GCF_034424415.1	ASM3442441v1	2025-01-23	Aeromonas caviae		HAMBI_1972					GCF_034424415.1-RS_2025_01_23	Complete Genome	2023-12-17		1	Aeromonas caviae
GCF_046764205.1	ASM4676420v1	2025-01-20	Aeromonas caviae		QZ63					GCF_046764205.1-RS_2025_01_20	Complete Genome	2025-01-20		1	Aeromonas caviae
GCF_900476005.1	51438_H01	2024-12-11	Aeromonas caviae		NCTC12244					GCF_900476005.1-RS_2024_12_11	Complete Genome	2018-06-17		1	Aeromonas caviae
GCF_045571405.1	ASM4557140v1	2024-12-04	Aeromonas caviae		K523					GCF_045571405.1-RS_2024_12_04	Complete Genome	2024-12-06		4	Aeromonas caviae
GCF_026000055.1	ASM2600005v1	2024-11-26	Aeromonas caviae		KAM479					GCF_026000055.1-RS_2024_11_26	Complete Genome	2022-10-11		6	Aeromonas caviae
GCF_020181575.1	ASM2018157v1	2024-11-18	Aeromonas caviae		K433					GCF_020181575.1-RS_2024_11_18	Complete Genome	2021-09-30		1	Aeromonas caviae
GCF_020405325.1	ASM2040532v1	2024-11-18	Aeromonas caviae		71442					GCF_020405325.1-RS_2024_11_18	Complete Genome	2021-10-10		1	Aeromonas caviae
GCF_024347775.1	ASM2434777v1	2024-10-16	Aeromonas caviae		KAM643					GCF_024347775.1-RS_2024_10_16	Complete Genome	2022-07-06		4	Aeromonas caviae
GCF_024347715.1	ASM2434771v1	2024-10-16	Aeromonas caviae		KAM497					GCF_024347715.1-RS_2024_10_16	Complete Genome	2022-07-06		7	Aeromonas caviae
GCF_024347695.1	ASM2434769v1	2024-10-13	Aeromonas caviae		KAM471					GCF_024347695.1-RS_2024_10_13	Complete Genome	2022-07-06		5	Aeromonas caviae
GCF_022631195.1	ASM2263119v1	2025-08-31	Aeromonas hydrophila		AC133					GCF_022631195.1-RS_2025_08_31	Complete Genome	2022-03-20		1	Aeromonas hydrophila
GCF_022631175.1	ASM2263117v1	2025-08-31	Aeromonas hydrophila		AC185					GCF_022631175.1-RS_2025_08_31	Complete Genome	2022-03-20		1	Aeromonas hydrophila
GCF_052063265.1	ASM5206326v1	2025-08-16	Aeromonas hydrophila		3					GCF_052063265.1-RS_2025_08_16	Complete Genome	2025-08-17		3	Aeromonas hydrophila
GCF_052063275.1	ASM5206327v1	2025-08-16	Aeromonas hydrophila		4					GCF_052063275.1-RS_2025_08_16	Complete Genome	2025-08-17		3	Aeromonas hydrophila
GCF_052063285.1	ASM5206328v1	2025-08-16	Aeromonas hydrophila		2					GCF_052063285.1-RS_2025_08_16	Complete Genome	2025-08-17		3	Aeromonas hydrophila
GCF_052058845.1	ASM5205884v1	2025-08-16	Aeromonas hydrophila		AH-7					GCF_052058845.1-RS_2025_08_16	Complete Genome	2025-08-16		2	Aeromonas hydrophila
GCF_052059235.1	ASM5205923v1	2025-08-16	Aeromonas hydrophila		AH-34					GCF_052059235.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_052058835.1	ASM5205883v1	2025-08-16	Aeromonas hydrophila		AH-12					GCF_052058835.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_052059225.1	ASM5205922v1	2025-08-16	Aeromonas hydrophila		AH-32					GCF_052059225.1-RS_2025_08_16	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_052059325.1	ASM5205932v1	2025-08-16	Aeromonas hydrophila		AH-40					GCF_052059325.1-RS_2025_08_16	Complete Genome	2025-08-16		2	Aeromonas hydrophila
GCF_052050085.1	ASM5205008v1	2025-08-15	Aeromonas hydrophila		BIDMC_4854					GCF_052050085.1-RS_2025_08_15	Complete Genome	2025-08-16		3	Aeromonas hydrophila
GCF_004684305.1	ASM468430v1	2025-07-23	Aeromonas hydrophila		WCX23					GCF_004684305.1-RS_2025_07_23	Complete Genome	2019-04-07		2	Aeromonas hydrophila
GCF_003491225.1	ASM349122v1	2025-07-08	Aeromonas hydrophila		ZYAH72					GCF_003491225.1-RS_2025_07_08	Complete Genome	2018-09-07		1	Aeromonas hydrophila
GCF_023823085.1	ASM2382308v1	2025-06-25	Aeromonas hydrophila		Ah27					GCF_023823085.1-RS_2025_06_25	Complete Genome	2022-06-21		1	Aeromonas hydrophila
GCF_050887685.1	LP-2	2025-06-12	Aeromonas hydrophila		LP-2					GCF_050887685.1-RS_2025_06_12	Complete Genome	2025-06-13		1	Aeromonas hydrophila
GCF_039718985.1	ASM3971898v1	2025-05-22	Aeromonas hydrophila		SHSK47					GCF_039718985.1-RS_2025_05_22	Complete Genome	2024-05-23		1	Aeromonas hydrophila
GCF_029962325.1	ASM2996232v1	2025-05-13	Aeromonas hydrophila		NN-MR659					GCF_029962325.1-RS_2025_05_13	Complete Genome	2023-05-10		1	Aeromonas hydrophila
GCF_022982835.1	ASM2298283v1	2025-05-07	Aeromonas hydrophila		Ah2111					GCF_022982835.1-RS_2025_05_07	Complete Genome	2022-04-14		8	Aeromonas hydrophila
GCF_050039675.1	ASM5003967v1	2025-05-01	Aeromonas hydrophila		14B-LG1					GCF_050039675.1-RS_2025_05_01	Complete Genome	2025-05-13		1	Aeromonas hydrophila
GCF_001895965.1	ASM189596v1	2025-04-30	Aeromonas hydrophila		MX16A					GCF_001895965.1-RS_2025_04_30	Complete Genome	2016-12-09		1	Aeromonas hydrophila
GCF_022869925.1	ASM2286992v1	2025-04-26	Aeromonas hydrophila		PartN-Ahydrophila-RM8376					GCF_022869925.1-RS_2025_04_26	Complete Genome	2022-04-11		1	Aeromonas hydrophila
GCF_000633175.1	ASM63317v1	2025-04-23	Aeromonas hydrophila subsp. hydrophila AL09-71		AL09-71			4		GCF_000633175.1-RS_2025_04_23	Complete Genome	2014-04-18		1	Aeromonas hydrophila
GCF_011602425.1	ASM1160242v1	2025-04-19	Aeromonas hydrophila		LHW39					GCF_011602425.1-RS_2025_04_19	Complete Genome	2020-03-21		1	Aeromonas hydrophila
GCF_029773045.1	ASM2977304v1	2025-04-16	Aeromonas hydrophila		YURI 17					GCF_029773045.1-RS_2025_04_16	Complete Genome	2023-04-17		3	Aeromonas hydrophila
GCF_028994095.1	ASM2899409v1	2025-04-13	Aeromonas hydrophila		K522					GCF_028994095.1-RS_2025_04_13	Complete Genome	2023-03-05		5	Aeromonas hydrophila
GCF_004684325.1	ASM468432v1	2025-04-13	Aeromonas hydrophila		23-C-23					GCF_004684325.1-RS_2025_04_13	Complete Genome	2019-04-07		2	Aeromonas hydrophila
GCF_018802305.1	ASM1880230v1	2025-04-13	Aeromonas hydrophila		4960					GCF_018802305.1-RS_2025_04_13	Complete Genome	2021-06-09		1	Aeromonas hydrophila
GCF_001019645.1	ASM101964v1	2025-04-13	Aeromonas hydrophila NJ-35		NJ-35					GCF_001019645.1-RS_2025_04_13	Complete Genome	2015-06-03		1	Aeromonas hydrophila
GCF_018802385.1	ASM1880238v1	2025-04-12	Aeromonas hydrophila		3019					GCF_018802385.1-RS_2025_04_12	Complete Genome	2021-06-09		1	Aeromonas hydrophila
GCF_029320915.1	ASM2932091v1	2025-04-12	Aeromonas hydrophila		516					GCF_029320915.1-RS_2025_04_12	Complete Genome	2023-03-21		2	Aeromonas hydrophila
GCF_029025785.1	ASM2902578v1	2025-04-11	Aeromonas hydrophila		K533					GCF_029025785.1-RS_2025_04_11	Complete Genome	2023-03-08		4	Aeromonas hydrophila
GCF_022557195.1	ASM2255719v1	2025-04-11	Aeromonas hydrophila		LP0103					GCF_022557195.1-RS_2025_04_11	Complete Genome	2022-03-13		1	Aeromonas hydrophila
GCF_022759545.1	ASM2275954v1	2025-04-11	Aeromonas hydrophila		A008N2					GCF_022759545.1-RS_2025_04_11	Complete Genome	2022-03-30		1	Aeromonas hydrophila
GCF_037765365.1	ASM3776536v1	2025-04-10	Aeromonas hydrophila		AH230115					GCF_037765365.1-RS_2025_04_10	Complete Genome	2024-04-05		3	Aeromonas hydrophila
GCF_022700835.1	ASM2270083v1	2025-04-10	Aeromonas hydrophila		Aer_Pi25.1HTAS					GCF_022700835.1-RS_2025_04_10	Complete Genome	2022-03-28		1	Aeromonas hydrophila
GCF_022700855.1	ASM2270085v1	2025-04-10	Aeromonas hydrophila		Aer_Brac14A					GCF_022700855.1-RS_2025_04_10	Complete Genome	2022-03-28		1	Aeromonas hydrophila
GCF_022700815.1	ASM2270081v1	2025-04-10	Aeromonas hydrophila		Aer_Brac66					GCF_022700815.1-RS_2025_04_10	Complete Genome	2022-03-28		1	Aeromonas hydrophila
GCF_017310215.1	ASM1731021v1	2025-04-08	Aeromonas hydrophila		OnP3.1					GCF_017310215.1-RS_2025_04_08	Complete Genome	2021-03-09		1	Aeromonas hydrophila
GCF_017310195.1	ASM1731019v1	2025-04-08	Aeromonas hydrophila		Brac6					GCF_017310195.1-RS_2025_04_08	Complete Genome	2021-03-09		1	Aeromonas hydrophila
GCF_037815895.1	ASM3781589v1	2025-04-05	Aeromonas hydrophila		BE2					GCF_037815895.1-RS_2025_04_05	Complete Genome	2024-04-06		1	Aeromonas hydrophila
GCF_003491245.1	ASM349124v1	2025-04-03	Aeromonas hydrophila		ZYAH75					GCF_003491245.1-RS_2025_04_03	Complete Genome	2018-09-07		1	Aeromonas hydrophila
GCF_028621795.1	ASM2862179v1	2025-03-25	Aeromonas hydrophila		516					GCF_028621795.1-RS_2025_03_25	Complete Genome	2023-02-14		1	Aeromonas hydrophila
GCF_001683535.1	ASM168353v1	2025-03-05	Aeromonas hydrophila		GYK1					GCF_001683535.1-RS_2025_03_05	Complete Genome	2016-07-11		1	Aeromonas hydrophila
GCF_001687125.1	ASM168712v1	2025-03-05	Aeromonas hydrophila		AHNIH1					GCF_001687125.1-RS_2025_03_05	Complete Genome	2016-07-18		2	Aeromonas hydrophila
GCF_001455365.1	ASM145536v1	2025-03-03	Aeromonas hydrophila		JBN2301					GCF_001455365.1-RS_2025_03_03	Complete Genome	2015-12-02		4	Aeromonas hydrophila
GCF_001518775.1	ASM151877v1	2025-03-03	Aeromonas hydrophila		D4					GCF_001518775.1-RS_2025_03_03	Complete Genome	2016-01-20		5	Aeromonas hydrophila
GCF_047777985.1	ASM4777798v1	2025-02-16	Aeromonas hydrophila		BJ014					GCF_047777985.1-RS_2025_02_16	Complete Genome	2025-02-16		5	Aeromonas hydrophila
GCF_047777975.1	ASM4777797v1	2025-02-16	Aeromonas hydrophila		BJ018					GCF_047777975.1-RS_2025_02_16	Complete Genome	2025-02-16		5	Aeromonas hydrophila
GCF_014169715.1	ASM1416971v1	2025-02-13	Aeromonas hydrophila		WP8-S18-ESBL-02					GCF_014169715.1-RS_2025_02_13	Complete Genome	2020-07-21		2	Aeromonas hydrophila
GCF_004296435.1	ASM429643v1	2025-02-12	Aeromonas hydrophila		GSH8-2					GCF_004296435.1-RS_2025_02_12	Complete Genome	2019-02-14		2	Aeromonas hydrophila
GCF_030908525.1	ASM3090852v1	2025-08-26	Aeromonas veronii		HS1906					GCF_030908525.1-RS_2025_08_26	Complete Genome	2023-08-27		4	Aeromonas veronii
GCF_024583155.1	ASM2458315v1	2025-08-22	Aeromonas veronii		GD21SC2322TT					GCF_024583155.1-RS_2025_08_22	Complete Genome	2022-08-07		2	Aeromonas veronii
GCF_051987585.1	ASM5198758v1	2025-08-14	Aeromonas veronii		AV0110					GCF_051987585.1-RS_2025_08_14	Complete Genome	2025-08-14		1	Aeromonas veronii
GCF_051986605.1	ASM5198660v1	2025-08-14	Aeromonas veronii		AV1212					GCF_051986605.1-RS_2025_08_14	Complete Genome	2025-08-14		1	Aeromonas veronii
GCF_030609635.1	ASM3060963v1	2025-08-08	Aeromonas veronii		AS1					GCF_030609635.1-RS_2025_08_08	Complete Genome	2023-08-03		1	Aeromonas veronii
GCF_023921405.1	ASM2392140v1	2025-07-04	Aeromonas veronii		183026					GCF_023921405.1-RS_2025_07_04	Complete Genome	2022-06-27		1	Aeromonas veronii
GCF_040215105.1	ASM4021510v1	2025-06-27	Aeromonas veronii		Ichip_C_3-7					GCF_040215105.1-RS_2025_06_27	Complete Genome	2024-06-20		1	Aeromonas veronii
GCF_030178455.1	ASM3017845v1	2025-06-05	Aeromonas veronii		AV066					GCF_030178455.1-RS_2025_06_05	Complete Genome	2023-06-06		2	Aeromonas veronii
GCF_050500275.1	ASM5050027v1	2025-05-21	Aeromonas veronii		Y6					GCF_050500275.1-RS_2025_05_21	Complete Genome	2025-05-22		1	Aeromonas veronii
GCF_023100745.1	ASM2310074v1	2025-05-12	Aeromonas veronii		AV040					GCF_023100745.1-RS_2025_05_12	Complete Genome	2022-04-25		1	Aeromonas veronii
GCF_022921155.1	ASM2292115v1	2025-05-11	Aeromonas veronii		HD6448					GCF_022921155.1-RS_2025_05_11	Complete Genome	2022-04-12		6	Aeromonas veronii
GCF_029773485.1	ASM2977348v1	2025-04-16	Aeromonas veronii		ANYA 15694					GCF_029773485.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_029773425.1	ASM2977342v1	2025-04-16	Aeromonas veronii		ANYA 18263					GCF_029773425.1-RS_2025_04_16	Complete Genome	2023-04-17		2	Aeromonas veronii
GCF_002866885.2	ASM286688v2	2025-04-16	Aeromonas veronii		FC951					GCF_002866885.2-RS_2025_04_16	Complete Genome	2018-10-16		2	Aeromonas veronii
GCF_029773525.1	ASM2977352v1	2025-04-16	Aeromonas veronii		ANYA 14022					GCF_029773525.1-RS_2025_04_16	Complete Genome	2023-04-17		4	Aeromonas veronii
GCF_029773545.1	ASM2977354v1	2025-04-16	Aeromonas veronii		LOID 16013					GCF_029773545.1-RS_2025_04_16	Complete Genome	2023-04-17		3	Aeromonas veronii
GCF_029773245.1	ASM2977324v1	2025-04-16	Aeromonas veronii		LOID 15995					GCF_029773245.1-RS_2025_04_16	Complete Genome	2023-04-17		3	Aeromonas veronii
GCF_029773265.1	ASM2977326v1	2025-04-16	Aeromonas veronii		ANYA 18661					GCF_029773265.1-RS_2025_04_16	Complete Genome	2023-04-17		3	Aeromonas veronii
GCF_029773325.1	ASM2977332v1	2025-04-16	Aeromonas veronii		ANYA 19170					GCF_029773325.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_029773565.1	ASM2977356v1	2025-04-16	Aeromonas veronii		ANYA 13997					GCF_029773565.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_029773385.1	ASM2977338v1	2025-04-16	Aeromonas veronii		ANYA 14386					GCF_029773385.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_029773065.1	ASM2977306v1	2025-04-16	Aeromonas veronii		ANYA 14430					GCF_029773065.1-RS_2025_04_16	Complete Genome	2023-04-17		2	Aeromonas veronii
GCF_029773085.1	ASM2977308v1	2025-04-16	Aeromonas veronii		ANYA 16549					GCF_029773085.1-RS_2025_04_16	Complete Genome	2023-04-17		2	Aeromonas veronii
GCF_029773405.1	ASM2977340v1	2025-04-16	Aeromonas veronii		ANYA 15110					GCF_029773405.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_029773345.1	ASM2977334v1	2025-04-16	Aeromonas veronii		ANYA 18644					GCF_029773345.1-RS_2025_04_16	Complete Genome	2023-04-17		2	Aeromonas veronii
GCF_029773445.1	ASM2977344v1	2025-04-16	Aeromonas veronii		ANYA 18462					GCF_029773445.1-RS_2025_04_16	Complete Genome	2023-04-17		2	Aeromonas veronii
GCF_029773505.1	ASM2977350v1	2025-04-16	Aeromonas veronii		ANYA 18197					GCF_029773505.1-RS_2025_04_16	Complete Genome	2023-04-17		2	Aeromonas veronii
GCF_029773225.1	ASM2977322v1	2025-04-16	Aeromonas veronii		ANYA 19953					GCF_029773225.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_029773465.1	ASM2977346v1	2025-04-16	Aeromonas veronii		ANYA 18196					GCF_029773465.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_029773365.1	ASM2977336v1	2025-04-16	Aeromonas veronii		ANYA 16702					GCF_029773365.1-RS_2025_04_16	Complete Genome	2023-04-17		1	Aeromonas veronii
GCF_020172765.2	ASM2017276v2	2025-04-14	Aeromonas veronii		SW3814					GCF_020172765.2-RS_2025_04_14	Complete Genome	2022-01-25		3	Aeromonas veronii
GCF_029633935.1	ASM2963393v1	2025-04-10	Aeromonas veronii		b1-3					GCF_029633935.1-RS_2025_04_10	Complete Genome	2023-04-10		3	Aeromonas veronii
GCF_049331855.1	ASM4933185v1	2025-04-08	Aeromonas veronii		D3					GCF_049331855.1-RS_2025_04_08	Complete Genome	2025-04-09		2	Aeromonas veronii
GCF_037101225.1	ASM3710122v1	2025-04-05	Aeromonas veronii		VA60					GCF_037101225.1-RS_2025_04_05	Complete Genome	2024-04-05		2	Aeromonas veronii
GCF_037101215.1	ASM3710121v1	2025-04-05	Aeromonas veronii		VA7					GCF_037101215.1-RS_2025_04_05	Complete Genome	2024-04-05		3	Aeromonas veronii
GCF_021586915.1	ASM2158691v1	2025-03-23	Aeromonas veronii		A29V					GCF_021586915.1-RS_2025_03_23	Complete Genome	2022-01-25		3	Aeromonas veronii
GCF_017310275.1	ASM1731027v1	2025-03-23	Aeromonas veronii		1708-29120					GCF_017310275.1-RS_2025_03_23	Complete Genome	2021-03-09		1	Aeromonas veronii
GCF_009834065.1	ASM983406v1	2025-03-22	Aeromonas veronii		AVNIH1					GCF_009834065.1-RS_2025_03_22	Complete Genome	2020-01-08		1	Aeromonas veronii
GCF_011045495.1	ASM1104549v1	2025-03-22	Aeromonas veronii		ZfB1					GCF_011045495.1-RS_2025_03_22	Complete Genome	2020-03-02		1	Aeromonas veronii
GCF_003722175.1	ASM372217v1	2025-03-20	Aeromonas veronii		MS-18-37					GCF_003722175.1-RS_2025_03_20	Complete Genome	2018-11-13		1	Aeromonas veronii
GCF_003491365.1	ASM349136v1	2025-03-20	Aeromonas veronii		17ISAe					GCF_003491365.1-RS_2025_03_20	Complete Genome	2018-09-07		2	Aeromonas veronii
GCF_000204115.1	ASM20411v1	2025-03-20	Aeromonas veronii B565		B565					GCF_000204115.1-RS_2025_03_20	Complete Genome	2011-04-13		1	Aeromonas veronii
GCF_014168995.1	ASM1416899v1	2025-03-17	Aeromonas veronii		WP3-W19-ESBL-03					GCF_014168995.1-RS_2025_03_17	Complete Genome	2020-07-21		6	Aeromonas veronii
GCF_014169875.1	ASM1416987v1	2025-03-17	Aeromonas veronii		WP9-W18-ESBL-04					GCF_014169875.1-RS_2025_03_17	Complete Genome	2020-07-21		5	Aeromonas veronii
GCF_000464515.2	ASM46451v2	2025-03-15	Aeromonas veronii Hm21		Hm21					GCF_000464515.2-RS_2025_03_15	Complete Genome	2020-07-31		2	Aeromonas veronii
GCF_020640955.1	ASM2064095v1	2024-12-12	Aeromonas veronii		71506					GCF_020640955.1-RS_2024_12_12	Complete Genome	2021-10-27		3	Aeromonas veronii
GCF_002803945.1	ASM280394v1	2024-12-11	Aeromonas veronii		X12					GCF_002803945.1-RS_2024_12_11	Complete Genome	2017-12-04		1	Aeromonas veronii
GCF_020544445.1	ASM2054444v1	2024-12-10	Aeromonas veronii		32286					GCF_020544445.1-RS_2024_12_10	Complete Genome	2021-10-25		1	Aeromonas veronii
GCF_001593245.1	ASM159324v1	2024-12-10	Aeromonas veronii		TH0426					GCF_001593245.1-RS_2024_12_10	Complete Genome	2016-03-16		1	Aeromonas veronii
GCF_013415825.1	ASM1341582v1	2024-12-10	Aeromonas veronii		JC529					GCF_013415825.1-RS_2024_12_10	Complete Genome	2020-07-15		1	Aeromonas veronii
GCF_000022505.1	ASM2250v1	2025-08-25	Bacillus cereus 03BB102		03BB102					GCF_000022505.1-RS_2025_08_25	Complete Genome	2009-03-30		2	Bacillus cereus
GCF_000021305.1	ASM2130v1	2025-08-25	Bacillus cereus G9842		G9842					GCF_000021305.1-RS_2025_08_25	Complete Genome	2008-12-19		3	Bacillus cereus
